45.52899009,-122.6759187
45.5289628,-122.6767116
45.52888119,-122.6774968
45.52874605,-122.6782669
45.52855868,-122.6790143
45.52832089,-122.6797319
45.52803496,-122.6804128
45.52770365,-122.6810504
45.52733015,-122.6816385
45.52691806,-122.6821716
45.52647135,-122.6826444
45.52599432,-122.6830524
45.52549157,-122.6833917
45.52496794,-122.6836591
45.52442847,-122.6838519
45.52387835,-122.6839683
45.5233229,-122.6840071
45.52276744,-122.6839681
45.52221735,-122.6838516
45.5216779,-122.6836586